image_path,species_id,confidence,uncertainty
LUCAS2018/CY/650/216/LUCAS2018_65021668_Cover.jpg,1425569,0.13769531,0.0
LUCAS2018/CY/649/816/LUCAS2018_64981672_Cover.jpg,1425569,0.16796875,0.0
LUCAS2018/CY/649/816/LUCAS2018_64981670_Cover.jpg,1360268,0.14453125,0.0
LUCAS2018/CY/649/416/LUCAS2018_64941674_Cover.jpg,1425569,0.203125,0.0
LUCAS2018/CY/649/216/LUCAS2018_64921674_Cover.jpg,1356497,0.10595703,0.0
LUCAS2018/CY/649/216/LUCAS2018_64921670_Cover.jpg,1451554,0.31640625,0.0
LUCAS2018/CY/649/216/LUCAS2018_64921668_Cover.jpg,1357412,0.21972656,0.0
LUCAS2018/CY/649/016/LUCAS2018_64901676_Cover.jpg,1742774,0.09667969,0.0
LUCAS2018/CY/649/016/LUCAS2018_64901668_Cover.jpg,1361190,0.25390625,0.0
LUCAS2018/CY/648/816/LUCAS2018_64881664_Cover.jpg,1361197,0.024658203,0.0
LUCAS2018/CY/648/616/LUCAS2018_64861666_Cover.jpg,1357412,0.15234375,0.0
LUCAS2018/CY/648/616/LUCAS2018_64861674_Cover.jpg,1452689,0.03466797,0.0
LUCAS2018/CY/648/616/LUCAS2018_64861672_Cover.jpg,1361306,0.026123047,0.0
LUCAS2018/CY/648/416/LUCAS2018_64841668_Cover.jpg,1361452,0.080566406,0.0
LUCAS2018/CY/648/416/LUCAS2018_64841664_Cover.jpg,1397763,0.09716797,0.0
LUCAS2018/CY/648/216/LUCAS2018_64821672_Cover.jpg,1731657,0.029541016,0.0
LUCAS2018/CY/648/016/LUCAS2018_64801670_Cover.jpg,1691401,0.21875,0.0
LUCAS2018/CY/646/616/LUCAS2018_64661658_Cover.jpg,1361452,0.06298828,0.0
LUCAS2018/CY/646/616/LUCAS2018_64661652_Cover.jpg,1451554,0.19921875,0.0
LUCAS2018/CY/646/216/LUCAS2018_64621662_Cover.jpg,1406530,0.088378906,0.0
